employee_id,name,email,department
0,Josephine,Josephine@whalecorp.com,인사팀
1,Brett,Brett@whalecorp.com,디자인팀
2,Kenneth,Kenneth@whalecorp.com,경영팀
3,Christopher,Christopher@whalecorp.com,개발팀
4,Regina,Regina@whalecorp.com,기획팀
5,Ronald,Ronald@whalecorp.com,기획팀
6,Jana,Jana@whalecorp.com,기획팀
7,Donald,Donald@whalecorp.com,개발팀
8,Karen,Karen@whalecorp.com,경영팀
9,Susan,Susan@whalecorp.com,개발팀
10,Rocio,Rocio@whalecorp.com,마케팅팀
11,Christopher,Christopher@whalecorp.com,마케팅팀
12,Dale,Dale@whalecorp.com,개발팀
13,Joshua,Joshua@whalecorp.com,인사팀
14,Corey,Corey@whalecorp.com,개발팀
15,David,David@whalecorp.com,경영팀
16,David,David@whalecorp.com,개발팀
17,Alina,Alina@whalecorp.com,개발팀
18,Berniece,Berniece@whalecorp.com,디자인팀
19,Lisa,Lisa@whalecorp.com,개발팀
20,Molly,Molly@whalecorp.com,경영팀
21,Ricky,Ricky@whalecorp.com,기획팀
22,Gertrude,Gertrude@whalecorp.com,경영팀
23,Shelia,Shelia@whalecorp.com,개발팀
24,Christy,Christy@whalecorp.com,총무팀
25,Kelly,Kelly@whalecorp.com,경영팀
26,Harriet,Harriet@whalecorp.com,개발팀
27,Bertha,Bertha@whalecorp.com,마케팅팀
28,Nyla,Nyla@whalecorp.com,디자인팀
29,Homer,Homer@whalecorp.com,인사팀
30,Brian,Brian@whalecorp.com,디자인팀
31,Michael,Michael@whalecorp.com,총무팀
32,Kim,Kim@whalecorp.com,마케팅팀
33,Lisa,Lisa@whalecorp.com,경영팀
34,Mavis,Mavis@whalecorp.com,마케팅팀
35,Margaret,Margaret@whalecorp.com,기획팀
36,Robert,Robert@whalecorp.com,경영팀
37,Homer,Homer@whalecorp.com,개발팀
38,Elizabeth,Elizabeth@whalecorp.com,총무팀
39,Lila,Lila@whalecorp.com,총무팀
40,Deborah,Deborah@whalecorp.com,인사팀
41,William,William@whalecorp.com,총무팀
42,Kelly,Kelly@whalecorp.com,개발팀
43,Jean,Jean@whalecorp.com,개발팀
44,Christine,Christine@whalecorp.com,개발팀
45,Paulina,Paulina@whalecorp.com,개발팀
46,Jeffrey,Jeffrey@whalecorp.com,마케팅팀
47,Catherine,Catherine@whalecorp.com,마케팅팀
48,Rafael,Rafael@whalecorp.com,경영팀
49,Carol,Carol@whalecorp.com,기획팀
50,Brian,Brian@whalecorp.com,디자인팀
51,Sharon,Sharon@whalecorp.com,경영팀
52,Pete,Pete@whalecorp.com,개발팀
53,Emily,Emily@whalecorp.com,경영팀
54,Carlos,Carlos@whalecorp.com,디자인팀
55,Vanessa,Vanessa@whalecorp.com,개발팀
56,Stacy,Stacy@whalecorp.com,개발팀
57,Jimmy,Jimmy@whalecorp.com,개발팀
58,Elaine,Elaine@whalecorp.com,개발팀
59,Tina,Tina@whalecorp.com,기획팀
60,Sarah,Sarah@whalecorp.com,디자인팀
61,Wanda,Wanda@whalecorp.com,개발팀
62,Ross,Ross@whalecorp.com,인사팀
63,Patricia,Patricia@whalecorp.com,기획팀
64,Frank,Frank@whalecorp.com,총무팀
65,Ashley,Ashley@whalecorp.com,개발팀
66,Frank,Frank@whalecorp.com,개발팀
67,Mason,Mason@whalecorp.com,경영팀
68,David,David@whalecorp.com,총무팀
69,Erica,Erica@whalecorp.com,총무팀
70,Richard,Richard@whalecorp.com,개발팀
71,Kevin,Kevin@whalecorp.com,개발팀
72,Robert,Robert@whalecorp.com,경영팀
73,Bill,Bill@whalecorp.com,총무팀
74,Susan,Susan@whalecorp.com,경영팀
75,Lynn,Lynn@whalecorp.com,총무팀
76,Alma,Alma@whalecorp.com,디자인팀
77,Kathleen,Kathleen@whalecorp.com,마케팅팀
78,Carol,Carol@whalecorp.com,총무팀
79,Christopher,Christopher@whalecorp.com,개발팀
80,Melanie,Melanie@whalecorp.com,경영팀
81,Kandi,Kandi@whalecorp.com,기획팀
82,Angela,Angela@whalecorp.com,디자인팀
83,John,John@whalecorp.com,개발팀
84,Gloria,Gloria@whalecorp.com,기획팀
85,Darrell,Darrell@whalecorp.com,기획팀
86,Steve,Steve@whalecorp.com,개발팀
87,Kathy,Kathy@whalecorp.com,개발팀
88,Katherine,Katherine@whalecorp.com,경영팀
89,David,David@whalecorp.com,마케팅팀
90,Karen,Karen@whalecorp.com,개발팀
91,Christopher,Christopher@whalecorp.com,인사팀
92,Stacey,Stacey@whalecorp.com,개발팀
93,Howard,Howard@whalecorp.com,디자인팀
94,Andrea,Andrea@whalecorp.com,개발팀
95,Christopher,Christopher@whalecorp.com,개발팀
96,Ray,Ray@whalecorp.com,개발팀
97,Deborah,Deborah@whalecorp.com,기획팀
